id,generic_name,category,safety_stock
P-0435,サンポウカッセンエルガタ,注射針,
P-0436,サンポウカッセンツキエックステンションチューブ,注射針,
P-0437,アセリオジョウチュウエキ,注射液,
P-0438,ダイビタミックス,注射液,
P-0439,クイックナビ,その他,
P-0440,ディスポキャップN ブルー,採血・便,
P-0441,アイソレーションガウン 100入,その他,
P-0442,キシロカインゼリー2％ 30ml×5本,内視鏡,
P-0443,シルガード,ワクチン,
P-0444,レジーナヨウブラスター,その他,
P-0445,ドラムP５００,事務用品,
P-0446,トナーP500,事務用品,
P-0447,ニフレックハイゴウヨウザイ,内視鏡,
P-0448,エアーシャッカクガーゼ,その他,
P-0449,グルカゴンチュウシャヨウ,注射液,
P-0450,スムースグローブ,内視鏡,
P-0451,スムースグロー,内視鏡,
P-0452,ケンサケンシンヨウニトリル,内視鏡,
P-0453,エフゼリープラス,その他,
P-0454,サンソフェースマスク,その他,
P-0455,メディセーフファインタッチ,注射針,
P-0456,スルバシリン,注射液,
P-0457,ナイシキョウヨウキョクチュウシン,内視鏡,
P-0458,ツウキアダプター,内視鏡,
P-0459,ラビショット,その他,
P-0460,パンビオコロナインフル,その他,
P-0461,アリナミン,注射液,
P-0462,コロナインフルコウゲン,その他,
P-0463,オキシプライム,その他,
P-0464,ラピッドテスタ,その他,
P-0465,バクニュバンス,ワクチン,
P-0466,レミケード,注射液,
P-0467,エタワオパー,その他,
P-0468,オトナヨウオムツ,その他,
P-0469,アドテスト,その他,
P-0470,デュオアクティブ,その他,
P-0471,ＨＩＶ１，２抗原抗体,採血・便,
P-0472,コミナティ,注射液,
P-0473,イベニティ,注射液,
P-0474,ソル・メドロール,注射液,
P-0475,プチケア ハード・ソフトコンタクト用,その他,
P-0476,テトラビック皮下注シリンジ 0.5ml,ワクチン,
P-0477,スピッツ アンモニア,採血・便,
P-0478,ハショウフウトキソイド,ワクチン,
P-0479,アルボナースシュシショウドク,その他,
P-0480,スーパーキャス5,注射針,
P-0481,クイックチェイサーフルー,その他,
P-0482,ﾊﾝﾄﾞｽｷｯｼｭEX 800ｍｌ,その他,
P-0483,スーパーキャス5 22G× 1・1/4ｲﾝﾁ 50本,注射針,
P-0484,ゴービック シリンジ0.5ｍｌ,ワクチン,
